date,SPY,AMZN,JPM,PFE,TSLA,WMT,BA,PEP,MRO,DPZ,SPY
2017-07-07,0.000081,0.01793261,-0.00705726,0.001797461,0.008994578,-0.028273403,0.007826318,-0.010793141,0.004349579,-0.003302639,8.08E-05
2017-07-10,0.040675,-0.002351071,-0.003870649,-0.007209466,0.034732314,0.003272034,0.011261891,-0.004648741,0.006057967,0.002312957,0.040674844
2017-07-11,0.024078,0.012376178,-0.003453067,0.001506277,0.007004307,0.006376918,0.000823977,0.009014784,-0.013901031,0.006719119,0.024078167
2017-07-12,-0.064341,-0.00585906,0.006357312,0.001804337,-0.018716182,0.014900546,-0.001017905,-0.006556234,0.001748268,-0.014576192,-0.064341232
2017-07-13,0.020593,0.001178522,-0.009171841,0.004497276,0.013421799,0.017042654,0.010994947,0.00794949,0.017316425,-0.005909552,0.020593175
2017-07-14,0.01986,0.00818155,-0.009366406,-0.005399056,-0.025366294,0.000393202,0.002347328,0,-0.005163662,-0.004599273,0.019859842
2017-07-17,-0.042639,0.014165969,-0.003507572,0.003302966,0.026768736,-0.002228621,-0.00364312,0.00069575,0.007735392,0.015249388,-0.042638995
2017-07-18,0.024936,0.002359418,0.001426584,0.007763441,-0.009120201,-0.004340283,0.012598215,0.002865277,0.047647871,0.005047475,0.02493568
2017-07-19,0.020796,0.001780587,0,-0.002382367,0.014225323,0.001974933,-0.00284944,0.001472815,-0.012320425,-0.000376348,0.020795608
2017-07-20,-0.043844,-0.002949812,-0.003404892,-0.001790337,-0.004617838,0.001708797,0.008806481,0.009649387,-0.020877512,0.003664798,-0.043844034
2017-07-21,0.024294,0.012864472,0.004281714,-0.004790495,0.042097643,0.009670782,0.000188527,-0.004296264,0.00252838,0.003511375,0.024294404
2017-07-24,0.039293,0.000885156,0.016515046,-0.006624656,-0.008561596,0.020977316,0.001318851,0.002751561,0.037989707,-0.106259296,0.039292852
2017-07-25,-0.07128,0.012357557,-0.009419477,-0.006364524,0.012437047,0.004827965,0.094213971,0.006334817,-0.013050704,-0.031520751,-0.071279789
2017-07-26,0.037618,-0.006479916,-0.004142169,0.003338712,-0.027688211,0.011091603,0.031829235,0.001279045,0.004096551,-0.021689471,0.037617811
2017-07-27,0.029916,-0.025131524,-0.0029534,0.004535157,0.001822204,0.000375824,0.001119618,-0.006240693,0.010573515,0.003611545,0.02991554
2017-07-28,-0.064409,-0.032137101,0.005680711,0.000301756,-0.035233091,0.002253138,0.004920098,0,-0.010573515,0.01845332,-0.064409484
2017-07-31,0.03342,0.008478042,0.013309585,-0.002415532,-0.012130016,0.006355313,-0.012533868,-0.005934755,-0.026513551,-0.000267782,0.033419729
2017-08-01,0.016263,-0.000301273,0.000859779,0.004872222,0.019583559,0.000372573,-0.006242221,-0.002677713,0.010855981,0.031153318,0.016263494
2017-08-02,0.014612,-0.009047767,-0.006573133,0.015373298,0.063024181,0.004213193,0.001259912,0.005950621,0.038294155,0.030111239,0.014612167
2017-08-03,-0.058081,0.000668544,0.012462467,0.006262251,0.027899607,-0.004834106,-0.002268985,0.000601764,0.030698769,-0.007290761,-0.058080813
2017-08-04,-0.006393,0.004737681,0.003836145,-0.009858302,-0.004887199,0.009891238,0.010545166,0.005056994,-0.04357115,-0.006934961,-0.006393054
2017-08-07,0.049673,-0.002451893,-0.003622601,-0.000901188,0.027903392,0.003806585,-0.00304326,-0.002139764,0.001618052,-0.016978011,0.049672575
2017-08-08,0.017729,-0.007941883,-0.001602348,0.005095263,-0.00463806,0.006515697,-0.015961822,-0.000685612,-0.013838103,0.008757303,0.017729374
2017-08-09,-0.063426,-0.025881637,-0.014430722,-0.000897151,-0.022617894,-0.011709091,-0.006121685,-0.002145745,-0.012371495,-0.006729642,-0.063426251
2017-08-10,-0.005466,0.011501984,-0.008387319,-0.005099885,0.006925806,-0.003228744,0.008551462,0.001116341,0.005792463,0.001712748,-0.00546559
2017-08-11,0.052605,0.015692484,0.011636294,0.001802962,0.016434544,0.003724381,0.009618001,0.011350698,-0.037134926,0.005429282,0.052605085
2017-08-14,0.021778,-0.000569673,0.002591552,0.002099293,-0.004048853,0.000867228,0.00848173,0.009543496,-0.008635921,-0.030048156,0.021777951
2017-08-15,-0.069281,-0.004650907,-0.006925685,-0.000599316,0.001599443,0.002596532,-0.006628042,0.001091973,-0.029931844,-0.00266055,-0.06928116
2017-08-16,0.02818,-0.018166844,-0.015760524,-0.012366338,-0.030750964,-0.015932497,-0.00845337,-0.005979058,-0.033624249,0.003138969,0.028180196
2017-08-17,0.015554,-0.002188595,0.000992129,-0.008533875,-0.012754412,-0.004905423,0.000763687,-0.006695276,0.004610436,0.00212249,0.015553941
2017-08-18,-0.062745,-0.005419083,-0.001212607,0.002750843,-0.028017914,0.005030813,-0.000381941,0.005596457,-0.009242029,0.004336736,-0.062745411
2017-08-21,0.004431,0.014175918,0.010209148,0.011834353,0.010276706,0.003881479,0.017121826,-0.002879097,0.011080307,-0.002483401,0.004431079
2017-08-22,0.04508,-0.009247278,0.001200688,0.002711407,0.032908001,-0.000750128,-0.006947994,-0.005356839,0.011866848,-0.007008232,0.045080145
2017-08-23,0.012336,-0.005810187,-0.001637611,-0.000300913,0.000453422,-0.020468104,0.002726481,-0.00916451,-0.002726001,-0.023667536,0.012336167
2017-08-24,-0.06263,-0.007577611,0.004034746,0.004803475,-0.013923561,0.003695032,-0.012009502,-0.003188679,0.005444688,-0.025247684,-0.062630417
2017-08-25,0.006489,0.000803667,-0.00316109,0.002393038,-0.006890471,-0.007659928,0.005453643,-0.002679714,-0.011834438,0.000167475,0.006488819
2017-08-28,0.018985,0.008462852,-0.005473648,0.000895737,0.004906015,0.009438885,0.013859111,0.002593229,-0.00366991,-0.002127958,0.018984509
2017-08-29,0.026623,0.014081923,0.002302445,-0.001493628,0.016616164,-0.002924281,-0.000124578,0.000999161,0.00183659,0.003078563,0.026622767
2017-08-30,0.040176,0.013356144,-0.004610115,0.013953196,0.007671922,-0.006002154,-0.003332627,0.005024303,0.019982668,0.018439585,0.040176211
